ChatID,MemeID,Reaction,Date
354637850,photo_2021-07-11_20-10-00.jpg,emoji-neutral,1638035271
354637850,photo_2021-09-24_00-22-41.jpg,emoji-rocket,1638035302
354637850,photo_2021-11-12_20-49-13.jpg,emoji-cry,1638035304
354637850,photo_2021-09-24_19-16-35.jpg,emoji-stress,1638035307
354637850,photo_2021-11-12_20-58-05.jpg,emoji-stress,1638035321
354637850,photo_2021-07-10_00-53-41.jpg,emoji-stress,1638035323
354637850,photo_2021-09-23_22-34-31.jpg,emoji-neutral,1638035325
354637850,photo_2021-08-30_00-35-43.jpg,emoji-cry,1638035329
354637850,photo_2021-09-23_22-41-15.jpg,emoji-cry,1638035344
354637850,IMG_0753.JPG,emoji-cry,1638037299
354637850,my_code.png,emoji-rocket,1638037303
354637850,C584pn449tE.jpg,emoji-neutral,1638037310
354637850,IMG_1059.JPG,emoji-chill,1638037319
354637850,IMG_2488.JPG,emoji-stress,1638037322
354637850,IMG_1823.JPG,emoji-cry,1638037324
354637850,IMG_2376.JPG,emoji-neutral,1638037333
354637850,IMG_0530.JPG,emoji-cry,1638037341
354637850,DRPM6309.jpg,emoji-stress,1638037346
354637850,IMG_2250.JPG,emoji-chill,1638037353
354637850,IMG_1951.JPG,emoji-cry,1638038546
354637850,IMG_2659.JPG,emoji-cry,1638038557
354637850,3.jpg,emoji-stress,1638038561
354637850,4.jpg,emoji-cry,1638038570
354637850,OyX3kVAEawI.jpg,emoji-cry,1638038817
354637850,IMG_0367.JPG,emoji-chill,1638038854
354637850,IMG_0248.JPG,emoji-cry,1638038857
354637850,5.jpg,emoji-cry,1638038861
130042164,3.jpg,emoji-neutral,1638038985
130042164,ZZc9kVo2c1E.jpg,emoji-cry,1638038997
130042164,photo_2021-07-10_00-53-41.jpg,emoji-rocket,1638039002
130042164,IMG_1951.JPG,emoji-neutral,1638039010
11436017,IMG_0367.JPG,emoji-cry,1638039013
130042164,IMG_2659.JPG,emoji-rocket,1638039018
11436017,photo_2021-07-10_00-53-41.jpg,emoji-neutral,1638039018
130042164,photo_2021-08-30_00-35-43.jpg,emoji-rocket,1638039023
11436017,photo_2021-07-11_20-10-00.jpg,emoji-neutral,1638039029
130042164,7.jpg,emoji-neutral,1638039030
130042164,IMG_2488.JPG,emoji-cry,1638039039
354637850,IMG_2246.JPG,emoji-cry,1638039042
11436017,IMG_1893.JPG,emoji-neutral,1638039045
130042164,6PphEMmgfh8.jpg,emoji-stress,1638039055
11436017,IMG_1951.JPG,emoji-cry,1638039066
11436017,IMG_0530.JPG,emoji-neutral,1638039094
11436017,photo_2021-09-23_22-34-31.jpg,emoji-rocket,1638039102
11436017,photo_2021-11-12_20-49-13.jpg,emoji-chill,1638039114
481807223,4.jpg,emoji-rocket,1638039132
481807223,IMG_1951.JPG,emoji-stress,1638039141
481807223,IMG_2376.JPG,emoji-chill,1638039145
481807223,4IYz3ZdvhsY.jpg,emoji-chill,1638039151
481807223,7.jpg,emoji-chill,1638039156
481807223,photo_2021-07-11_20-10-00.jpg,emoji-chill,1638039157
481807223,IMG_1823.JPG,emoji-rocket,1638039161
278836725,IMG_2485.JPG,emoji-rocket,1638039162
481807223,IMG_2245.JPG,emoji-rocket,1638039167
278836725,IMG_2245.JPG,emoji-rocket,1638039167
481807223,IMG_2066.JPG,emoji-stress,1638185091
481807223,IMG_2456.JPG,emoji-neutral,1638185097
481807223,DRPM6309.jpg,emoji-neutral,1638185110
481807223,IMG_2246.JPG,emoji-neutral,1638185113
481807223,IMG_1059.JPG,emoji-neutral,1638185115
481807223,IMG_1893.JPG,emoji-chill,1638185118
481807223,IMG_2365.JPG,emoji-chill,1638185121
481807223,photo_2021-09-24_00-22-41.jpg,emoji-chill,1638185122
481807223,photo_2021-07-10_00-53-41.jpg,emoji-chill,1638185123
481807223,photo_2021-09-23_22-34-31.jpg,emoji-chill,1638185124
481807223,photo_2021-11-12_20-49-13.jpg,emoji-chill,1638185126
